公交,写字楼,医院,商场,地铁,学校,小区名字,建造时间,房型,楼层,每平米价格,面积
24,0,0,0,0,23,龙锦苑东二区,2007,3室1厅,6,36259,131
26,0,0,0,0,38,北城根,2000,2室1厅,6,31081,74
9,49,8,0,2,15,后现代城,2007,1室1厅,28,65760,68
4,0,0,0,0,0,拓然家苑,2003,2室1厅,6,31168,77
15,0,0,0,0,0,利泽西园,2000,1室1厅,24,54347,69
3,0,0,0,0,0,丽水康城,2016,3室2厅,23,6302,119
15,0,0,0,0,11,佳和宜园,2004,3室1厅,6,30769,91
10,0,0,0,0,0,北京华侨城,2008,3室1厅,30,64327,171
7,0,0,0,0,0,北辰·香麓,2010,4室2厅,6,49145,234
12,49,7,0,1,20,易构空间,2004,1室1厅,28,64599,70
4,0,0,0,0,0,美树假日嘉园,2004,4室2厅,4,40838,186
14,39,42,0,1,47,红玺台,2012,4室2厅,29,133333,225
5,0,0,0,0,0,潮白河孔雀城剑桥郡,2013,2室2厅,27,18902,82
0,0,0,0,0,0,上上城四期,2008,2室2厅,29,25449,100
9,0,0,0,0,16,时尚街区东区,2006,3室1厅,13,46236,93
3,0,0,0,0,5,远洋一方花语苑,2000,2室1厅,9,50446,91
10,35,11,0,1,21,枫桦豪景,2002,3室2厅,12,102224,166
15,0,0,0,0,27,昂小时代,2016,2室1厅,19,44334,41
19,0,0,0,0,16,永定河孔雀城空港壹号,2016,2室2厅,23,15294,85
6,0,0,0,0,7,早安北京,2014,2室2厅,28,19703,80
10,0,0,0,0,0,天通苑北三区,2004,2室2厅,6,31569,108
12,49,13,0,1,28,世界城,2008,4室2厅,29,70395,369
9,20,34,0,1,49,芍药居北里,2005,2室1厅,28,62305,103
15,49,13,0,2,42,万泉新新家园,2004,4室2厅,7,110851,248
16,11,13,0,1,22,名都家苑,2006,2室2厅,14,57779,117
0,0,0,0,0,0,上上城五期小区,2007,2室2厅,18,21590,88
0,0,0,0,0,0,弘新奇世界御马坊,2016,1室1厅,13,15000,46
13,49,5,0,2,27,沿海赛洛城,2009,1室1厅,8,62807,57
1,0,0,0,0,0,顶秀美泉小镇,2010,3室2厅,4,24264,136
17,5,12,0,1,21,金汉绿港,2000,3室2厅,18,38551,94
11,41,9,0,1,31,颐慧佳园,2005,2室1厅,9,89542,90
13,7,8,0,3,8,新龙城,2006,2室1厅,12,54561,99
28,0,0,0,0,14,东亚·上北心,2009,1室1厅,21,32269,57
0,0,0,0,0,0,上上城五期小区,2008,2室1厅,28,26593,91
14,50,15,0,1,37,傲城天月园,2006,3室2厅,18,78947,152
9,0,0,0,0,0,怡海花园恒丰园,2005,3室2厅,29,53118,203
14,11,8,0,1,23,流星苑,2011,2室1厅,16,47566,90
9,0,0,0,0,0,怡海花园恒泰园,2000,3室1厅,29,57482,209
4,0,0,0,0,0,北京太阳城,2007,3室2厅,9,30528,141
13,7,8,0,3,8,新龙城,2006,2室2厅,20,49844,96
6,0,0,0,0,0,天洋城,2011,2室1厅,22,26963,85
10,13,6,0,1,18,京通苑,1998,2室1厅,24,34439,87
2,0,0,0,0,0,妇联小区,1995,3室1厅,7,46242,87
13,49,7,0,1,49,光大花园,2000,2室1厅,17,104395,91
14,50,6,0,4,8,金晖嘉园,1998,2室2厅,27,101449,138
15,45,17,0,1,22,北蜂窝66号院,1990,3室1厅,6,67105,76
8,0,0,0,0,21,橡树湾,2011,3室2厅,25,80575,139
15,48,15,0,2,34,展览路小区,1999,2室1厅,18,87557,65
2,0,0,0,0,0,龙山华府,2011,3室2厅,21,35922,103
21,0,0,0,0,43,白纸坊西街,2002,2室1厅,16,74679,71
10,0,0,0,0,17,北京时代广场,2015,1室1厅,14,23333,42
9,20,34,0,1,49,芍药居小区,1998,3室1厅,12,78140,100
21,48,10,0,2,39,LOFTEL,2016,2室2厅,10,28000,50
6,49,10,0,2,18,莲花小区,1999,3室2厅,28,60075,133
8,0,0,0,0,0,首城国际心,2010,2室2厅,28,93103,87
19,49,15,0,2,28,首城双景,2013,2室2厅,16,55369,63
12,37,15,0,1,24,陶然北岸,2006,3室2厅,19,100354,116
4,0,0,0,0,0,金色漫香苑,2013,2室1厅,8,40588,85
18,0,0,0,0,22,天桥北里,2000,1室1厅,1,110000,15
17,0,0,0,0,8,星河皓月,2007,2室2厅,18,26344,93
13,41,11,0,1,34,花市枣苑,2004,2室1厅,21,78703,108
5,0,0,0,0,12,澳景花庭,2004,2室2厅,15,71681,116
15,45,10,0,2,27,光大水墨风景,2005,3室2厅,16,126742,150
9,0,0,0,0,0,通泰•国际公馆,2016,3室2厅,24,53626,91
11,48,3,0,1,7,领秀硅谷,2005,3室2厅,5,65203,153
14,35,9,0,1,41,石榴园北里,2000,1室1厅,6,45360,49
9,20,34,0,1,49,芍药居北里,1997,3室1厅,7,81333,75
13,49,5,0,2,27,沿海赛洛城,2009,2室2厅,18,56142,119
15,0,0,0,0,0,城南嘉园三期,2007,4室2厅,11,45081,244
20,0,0,0,0,23,强佑清河新城,2009,3室2厅,27,60283,141
18,0,0,0,0,32,远见名苑,2004,2室1厅,26,82476,84
23,7,16,0,2,23,龙锦苑东三区,2009,3室1厅,6,36259,131
9,0,0,0,0,40,汇鸿家园,2005,2室2厅,12,56000,75
18,0,0,0,0,0,弘北京像素,2012,2室1厅,14,85474,39
23,0,0,0,0,8,景江山赋,2013,4室2厅,9,73863,88
17,15,7,0,2,19,国铁建国际城,2012,2室1厅,21,75675,74
10,49,3,0,1,17,裘马都,2006,1室2厅,22,86666,75
0,0,0,0,0,0,上上城五期小区,2009,2室1厅,18,24342,76
12,0,0,0,0,14,物资部大院,1990,2室1厅,6,109830,59
8,0,0,0,0,0,正阳小区,1999,3室1厅,6,54499,72
13,45,10,0,1,21,风度柏林,2006,1室1厅,22,74684,64
18,50,11,0,2,29,翠微2号院,1983,2室1厅,5,100000,48
11,0,0,0,0,9,龙湾别墅,2008,4室3厅,3,41935,310
15,50,29,0,2,48,骑河楼大街,1988,1室1厅,6,88410,42
10,25,4,0,1,31,润枫水尚,2008,2室1厅,15,63017,106
11,41,9,0,1,31,颐慧佳园,2005,1室1厅,9,86746,83
9,0,0,0,0,0,城南嘉园一期,2004,2室2厅,6,50925,108
24,0,0,0,0,22,新兴年代,2009,2室2厅,21,80537,93
11,0,0,0,0,7,西山国际城,2013,1室1厅,6,26333,60
11,0,0,0,0,0,美林花园二期,2000,2室2厅,29,78277,118
12,50,6,0,2,26,华严北里小区,1991,3室1厅,6,60297,85
12,0,0,0,0,0,天赐良园,2003,1室1厅,7,59668,41
17,48,16,0,3,34,四平园小区,2000,3室2厅,12,95194,110
22,39,24,0,2,34,双槐里小区,1994,3室1厅,6,79487,78
18,8,4,0,1,16,时尚街区西区,2003,2室1厅,20,39461,65
11,0,0,0,0,9,当代北辰MOMAVILLAGE,2016,2室2厅,11,30000,43
4,0,0,0,0,0,保利西山林语,2009,3室2厅,8,57746,142
11,0,0,0,0,7,西山国际城,2014,3室2厅,6,25000,120
11,50,10,0,3,48,锦秋知春,2002,3室2厅,25,86341,180
19,49,15,0,2,28,首城双景,2012,2室1厅,16,58563,97
14,41,6,0,1,24,UHN国际村,2008,3室2厅,32,79464,151
11,0,0,0,0,0,玫瑰御园,2006,3室2厅,9,96830,170
13,49,5,0,2,27,沿海赛洛城,2008,2室1厅,7,64721,88
16,0,0,0,0,34,华威北里,1994,2室1厅,6,56109,56
7,0,0,0,0,0,卡法国际,2015,2室2厅,10,26282,78
13,21,13,0,1,33,丽都水岸,2008,3室2厅,6,68273,249
19,0,0,0,0,0,棕榈滩别墅,2008,4室3厅,3,53104,467
14,0,0,0,0,49,人济山庄二期,2000,4室2厅,26,74686,163
14,49,7,0,2,23,保利央公园,2014,4室2厅,25,110344,145
10,0,0,0,0,0,天通苑苑,2008,3室2厅,6,31250,160
19,49,10,0,3,36,复兴门南大街,1984,1室1厅,16,112582,45
10,50,13,0,1,21,新西街,1988,1室1厅,7,82755,45
1,0,0,0,0,0,八达岭孔雀城（住宅）,2015,1室1厅,18,8876,89
13,7,8,0,3,8,新龙城,2006,3室2厅,9,54289,122
2,0,0,0,0,0,模式口东里,1992,2室1厅,3,35294,102
11,48,12,0,1,34,炫特区,2005,1室1厅,25,54424,63
14,0,0,0,0,49,人济山庄二期,2003,3室2厅,26,86921,172
3,0,0,0,0,0,首开晟广场,2016,2室2厅,10,35714,42
3,0,0,0,0,0,东亚五环国际,2013,2室2厅,19,29670,91
21,50,29,0,3,42,国瑞城,2006,2室2厅,16,81250,80
0,0,0,0,0,0,美林湾,2010,2室2厅,6,33333,90
15,0,0,0,0,31,泰利明苑,2000,2室1厅,17,54156,142
10,0,0,0,0,23,潘家坡胡同,1964,2室1厅,6,87847,58
17,48,16,0,3,34,四平园小区,1999,2室2厅,12,94750,92
14,49,7,0,2,23,望京花园西区,2000,4室2厅,5,70974,134
0,0,0,0,0,0,晴翠园,2006,5室3厅,3,97646,399
13,50,11,0,4,25,富力城D区,2008,4室2厅,20,87051,276
18,48,23,0,1,26,广信嘉园,2003,2室1厅,25,66153,130
10,48,5,0,1,17,远洋万和公馆,2013,4室2厅,24,87553,291
17,49,12,0,1,49,红杉国际公寓,2010,1室1厅,19,63492,63
9,0,0,0,0,11,旗胜家园,2000,2室1厅,11,33146,89
10,0,0,0,0,0,国兴观湖国际,2007,3室2厅,25,74099,175
11,10,4,0,1,22,太阳星城金星园,2004,3室2厅,22,80351,187
18,0,0,0,0,46,阜成路47号院,1997,2室1厅,6,91228,51
19,49,28,0,4,40,富力爱丁堡公馆,2005,2室2厅,25,85820,134
7,0,0,0,0,0,东方普罗旺斯,2010,9室5厅,1,110084,436
4,0,0,0,0,0,海尚湖世家,2008,3室2厅,3,36470,170
26,49,18,0,1,22,丰侨公寓,2006,2室2厅,22,137955,138
18,0,0,0,0,32,远见名苑,2004,2室2厅,14,86917,90
16,50,16,0,1,35,新明胡同,2000,2室1厅,6,106349,63
19,50,17,0,1,49,官苑8号,2008,1室1厅,16,141414,40
13,47,19,0,1,32,爱这城,2007,2室2厅,20,57317,82
11,44,26,0,1,48,宣武门西大街,1979,2室1厅,12,84482,58
12,0,0,0,0,0,北京苏活,2012,3室1厅,12,29255,94
12,37,15,0,1,24,陶然北岸,2004,3室2厅,19,93220,118
14,39,42,0,1,47,红玺台,2011,3室2厅,29,118343,169
9,0,0,0,0,11,上奥世纪心,2009,2室2厅,11,46702,94
17,0,0,0,0,22,杨庄北区,2000,2室1厅,20,37916,72
21,0,0,0,0,19,金隅万科城,2000,3室2厅,28,39356,89
6,0,0,0,0,5,朝阳新城,2006,1室1厅,6,42063,63
8,0,0,0,0,0,铁顺鑫汇,2015,2室2厅,9,26000,66
0,0,0,0,0,0,夏威夷南岸,2009,3室2厅,24,25781,128
16,0,0,0,0,0,二里庄小区,1992,2室1厅,6,82585,56
21,50,29,0,3,42,国瑞城,2012,1室1厅,16,85483,62
16,0,0,0,0,0,二里庄小区,1993,2室1厅,6,83837,58
10,0,0,0,0,20,青塔春园,2002,2室1厅,18,44067,100
9,49,8,0,2,15,后现代城,2006,1室1厅,28,65760,68
13,0,0,0,0,0,万科紫苑,2010,3室1厅,9,66535,127
6,45,4,0,1,18,远洋一方北润园,2013,2室1厅,18,52906,86
12,0,0,0,0,9,泷悦长安,2014,3室3厅,3,69387,245
19,49,6,0,2,21,红联村,1989,2室1厅,6,74261,57
4,0,0,0,0,7,巩华家园,2014,1室1厅,18,18269,52
0,0,0,0,0,0,爱晚大爱城,2014,3室2厅,26,14867,113
11,48,5,0,1,23,东恒时代二期,2007,1室1厅,21,79526,74
12,34,19,0,3,40,荣丰2008,2007,1室1厅,16,98207,41
13,0,0,0,0,46,西便门东里,1983,2室1厅,6,85714,56
13,0,0,0,0,0,珠江·拉维小镇,2010,2室2厅,9,41666,96
7,0,0,0,0,0,八达岭孔雀城英国宫别墅,2015,3室2厅,18,9176,85
10,49,3,0,1,17,裘马都,2006,1室2厅,22,86666,75
0,0,0,0,0,0,上上城五期小区,2009,2室1厅,18,24342,76
18,48,23,0,1,26,广信嘉园,2002,2室2厅,20,62216,143
18,5,3,0,2,42,红木林,2011,2室1厅,28,55921,76
26,8,17,0,3,23,华龙苑南里,1998,2室1厅,6,43441,70
12,48,8,0,1,49,稻香园小区,1998,3室1厅,6,83516,91
13,47,19,0,1,32,爱这城,2007,2室2厅,20,57317,82
16,0,0,0,0,0,二里庄小区,1993,2室1厅,6,83837,58
10,0,0,0,0,20,青塔春园,2002,2室1厅,18,44067,100
6,0,0,0,0,0,天洋城,2010,3室1厅,33,26956,115
19,50,9,0,3,13,裕西里,2000,2室1厅,24,95759,73
6,49,10,0,2,18,莲花小区,1999,3室2厅,28,54772,162
9,0,0,0,0,0,富锦嘉园一期,2002,2室1厅,5,46695,84
13,0,0,0,0,10,桃园小区,2000,2室1厅,6,39156,83
7,0,0,0,0,3,御汤山,2010,4室3厅,3,27292,458
11,41,9,0,1,31,美丽园,2000,2室2厅,7,103448,116
15,50,20,0,1,24,光彩国际公寓,2003,3室2厅,27,67129,216
9,49,8,0,2,15,后现代城,2006,1室1厅,28,65760,68
7,0,0,0,0,0,八达岭孔雀城英国宫别墅,2015,3室2厅,18,9176,85
0,0,0,0,0,0,天资华府,2016,3室1厅,15,29914,117
11,0,0,0,0,0,泰禾北京院子,2015,6室4厅,3,82385,306
23,0,0,0,0,31,朝阳旺角,2006,2室2厅,6,42718,103
17,2,4,0,1,14,前进花园牡丹苑,2013,2室2厅,15,36666,105
13,7,8,0,3,8,新龙城,2007,3室1厅,20,50834,115
21,49,8,0,3,48,如意里小区,1987,2室1厅,7,91222,58
18,0,0,0,0,32,远见名苑,2004,2室1厅,26,82476,84
14,49,7,0,2,23,融科橄榄城,2016,2室2厅,32,90425,94
18,18,10,0,2,49,远洋·沁山水,2009,3室2厅,21,78651,89
26,0,0,0,0,22,大雄郁金香舍,2004,3室2厅,9,43653,156
10,0,0,0,0,0,财富东方,2004,2室1厅,26,38701,93
13,49,5,0,2,27,沿海赛洛城,2009,2室1厅,8,62960,84
8,0,0,0,0,0,红松园小区,1990,2室1厅,5,43216,60
5,0,0,0,0,2,东亚马赛公馆,2013,2室1厅,21,43367,98
26,13,7,0,1,21,龙兴园区,2001,3室2厅,6,37735,106
11,0,0,0,0,0,大雄城市花园,2003,5室3厅,3,40865,208
19,49,15,0,2,28,首城双景,2012,2室1厅,16,57915,57
0,0,0,0,0,0,学府澜湾,2015,3室2厅,27,18666,75
15,10,13,0,1,20,枫竹苑,2004,3室2厅,17,53076,130
17,49,13,0,1,49,首尔·甜城,2013,2室1厅,33,26815,90
6,0,0,0,0,0,奥林匹克花园东坝,2009,4室2厅,9,57516,153
19,0,0,0,0,0,裕龙三区,2003,4室2厅,18,33333,180
1,0,0,0,0,0,加州水郡东区,2010,5室3厅,3,27027,296
8,0,0,0,0,0,旗舰凯旋,2005,2室1厅,6,42562,92
18,50,11,0,2,29,翠微2号院,1983,2室1厅,5,100000,48
23,7,16,0,2,23,龙锦苑东三区,2009,3室1厅,6,36259,131
3,0,0,0,0,0,丽水康城,2016,3室2厅,23,6302,119
15,0,0,0,0,11,佳和宜园,2004,3室1厅,6,30769,91
8,0,0,0,0,0,首城国际心,2010,2室2厅,28,93103,87
19,49,15,0,2,28,首城双景,2013,2室2厅,16,55369,63
14,49,7,0,2,23,保利央公园,2014,4室2厅,25,110344,145
6,0,0,0,0,0,奥林匹克花园东坝,2009,2室1厅,9,59090,110
8,49,2,0,1,10,北辰绿色家园拂林园,2000,3室2厅,14,57347,153
12,49,8,0,3,31,龙翔路,1998,2室1厅,6,73880,67
15,31,13,0,1,26,鑫源国际,2011,2室1厅,17,49056,53
0,0,0,0,0,0,海瓦尔登湖,2007,5室2厅,2,35885,418
14,0,0,0,0,14,京贸国际城,2011,1室1厅,40,65132,69
14,47,9,0,2,28,海晟名苑,2003,6室3厅,20,133333,420
22,35,19,0,2,39,绿城诚园,2012,2室1厅,21,93252,91
0,0,0,0,0,0,龙湖颐和原著,2010,6室4厅,2,87831,1082
10,0,0,0,0,0,厂洼路七号,1998,1室1厅,6,76055,56
16,49,14,0,3,26,马连道里三区,1996,2室1厅,6,85000,62
9,20,34,0,1,49,惠新里,1987,2室1厅,20,64720,70
0,0,0,0,0,0,广阳郡九号,2016,3室2厅,16,44604,139
12,37,15,0,1,24,陶然北岸,2006,3室2厅,19,100354,116
20,0,0,0,0,23,强佑清河新城,2009,3室2厅,27,60283,141
20,50,19,0,1,36,芳星园一区,2000,2室1厅,25,54545,66
18,5,3,0,2,42,红木林,2010,2室1厅,25,52571,70
17,50,11,0,1,46,光大名筑,2004,4室2厅,9,71115,176
13,7,9,0,1,11,星河湾,2006,5室3厅,16,65343,627
0,0,0,0,0,0,夏威夷南岸二期,2010,2室2厅,18,29545,88
9,0,0,0,0,0,北京方向,2003,3室1厅,19,63445,119
8,49,4,0,1,17,康家园,2001,2室1厅,18,51196,84
16,50,16,0,1,35,马甸南村,1991,2室1厅,6,105820,57
8,0,0,0,0,0,首城国际心,2010,2室1厅,28,79545,88
14,0,0,0,0,50,小南庄,1998,3室2厅,12,88275,145
5,0,0,0,0,0,首邑溪谷,2011,2室1厅,16,57446,47
14,0,0,0,0,14,京贸国际城,2011,2室1厅,35,63249,90
3,0,0,0,0,0,东亚五环国际,2013,2室2厅,19,28260,92
7,0,0,0,0,19,国美第一城,2006,3室2厅,28,52816,142
10,23,8,0,1,27,华纺易城,2005,3室2厅,18,58631,119
0,0,0,0,0,0,上上城四期,2008,2室2厅,29,25449,100
0,0,0,0,0,0,纳丹堡,2010,1室1厅,18,24590,61
21,50,29,0,3,42,国瑞城,2008,3室2厅,10,92727,165
17,5,12,0,1,21,金汉绿港,2000,3室2厅,18,38551,94
11,41,9,0,1,31,颐慧佳园,2005,2室1厅,9,89542,90
18,0,0,0,0,28,皓月园,2005,2室1厅,6,38505,87
3,0,0,0,0,10,高教大楼,2013,1室1厅,28,21063,19
14,39,42,0,1,47,红玺台,2000,2室2厅,16,145247,86
8,0,0,0,0,0,正阳小区,1999,2室1厅,19,51610,91
7,0,0,0,0,19,国美第一城,2006,2室2厅,6,49350,77
9,20,34,0,1,49,芍药居北里,2008,2室1厅,28,72370,93
17,0,0,0,0,22,海特花园,2000,1室1厅,16,42424,66
9,20,34,0,1,49,芍药居北里,2004,2室1厅,24,66315,95
26,8,17,0,3,23,华龙苑北里,2005,2室2厅,6,42253,121
14,0,0,0,0,42,清缘东里,2009,3室2厅,19,89086,90
19,50,9,0,3,13,裕西里,1991,2室1厅,20,100000,64
0,0,0,0,0,0,鸿威翡翠城,2016,2室2厅,4,11666,180
0,0,0,0,0,0,广阳郡九号,2016,3室2厅,12,44604,139
7,0,0,0,0,0,东方普罗旺斯,2005,8室3厅,3,47738,796
26,7,13,0,1,20,靓景明居,2004,2室1厅,12,50007,70
2,0,0,0,0,0,悦公馆,2015,2室2厅,18,10000,92
13,0,0,0,0,27,北新家园,1996,2室1厅,6,63844,57
20,0,0,0,0,0,紫竹花园,2001,4室2厅,29,58035,224
11,0,0,0,0,0,新壁街小区,2004,2室1厅,6,104834,69
13,49,5,0,2,27,沿海赛洛城,2007,2室2厅,24,51506,78
0,0,0,0,0,0,潮白河孔雀城,2014,3室2厅,26,18651,89
17,3,7,0,1,18,华业东方玫瑰,2012,2室2厅,27,48611,72
4,0,0,0,0,0,首创公园城,2015,2室1厅,6,28260,46
12,0,0,0,0,0,北京苏活,2012,2室1厅,12,26404,89
18,48,19,0,3,36,新城国际公寓,2003,4室2厅,33,103225,465
15,0,0,0,0,0,星河城一号苑,2004,1室1厅,20,66531,59
0,0,0,0,0,0,上上城五期小区,2009,1室1厅,18,26530,49
14,49,7,0,2,23,银领国际,2004,2室1厅,25,51363,113
10,0,0,0,0,11,领秀新硅谷,2012,2室2厅,15,72000,125
14,4,2,0,1,16,兰德华庭,2006,1室1厅,12,69398,61
5,0,0,0,0,0,首邑溪谷,2012,2室1厅,16,65957,47
4,0,0,0,0,0,美树假日嘉园,2004,4室2厅,4,40838,186
9,0,0,0,0,16,时尚街区东区,2006,3室1厅,13,46236,93
20,50,9,0,2,23,苹果社区,2004,3室1厅,23,101694,118
14,49,7,0,2,23,望京新城,1997,2室1厅,30,60948,89
13,7,9,0,1,11,星河湾,2009,4室2厅,31,71596,293
11,0,0,0,0,9,龙湾别墅,2000,4室3厅,3,43577,436
0,0,0,0,0,0,广阳郡九号,2015,3室2厅,12,43165,139
14,0,0,0,0,14,京贸国际城,2011,2室2厅,35,70422,78
11,0,0,0,0,23,彩虹城,2005,1室1厅,22,49625,65
10,0,0,0,0,0,马公庄小区,1995,2室1厅,15,46636,65
14,0,0,0,0,42,清缘东里,2005,1室1厅,19,81751,34
14,49,7,0,2,23,龙湖·双珑原著,2013,3室2厅,3,66666,390
11,19,7,0,1,26,海紫御公馆,2000,2室2厅,23,105438,90
28,0,0,0,0,20,林肯公园一期,2010,2室1厅,28,71111,45
18,43,11,0,1,41,南新园,1995,2室1厅,6,48570,69
13,7,8,0,3,8,新龙城,2006,2室1厅,12,54561,99
15,48,15,0,2,34,展览路小区,1999,2室1厅,18,87557,65
18,5,3,0,2,42,红木林,2013,2室1厅,21,63380,71
11,50,6,0,1,20,政馨园三区,2003,2室1厅,22,38586,92
2,0,0,0,0,0,龙山华府,2011,3室2厅,21,35922,103
21,0,0,0,0,43,白纸坊西街,2002,2室1厅,16,74679,71
18,36,9,0,1,24,永乐小区,1980,2室1厅,6,43220,59
12,50,19,0,1,23,怡景园,2003,3室2厅,18,59997,193
17,24,34,0,1,18,永定路西里小区,1988,3室1厅,17,70169,112
23,0,0,0,0,32,金地仰山,2012,3室2厅,9,47222,180
13,0,0,0,0,20,紫金长安,2007,4室2厅,18,94001,223
9,0,0,0,0,0,建邦枫景,2010,2室2厅,9,52380,105
20,49,3,0,1,22,上林溪,2011,3室2厅,11,70689,116
6,0,0,0,0,0,宣颐家园,2004,3室2厅,4,44776,134
14,49,7,0,2,23,季景沁园,2008,4室2厅,32,63176,277
6,0,0,0,0,0,天洋城,2010,1室1厅,34,30020,63
16,0,0,0,0,34,弘善家园,2012,2室1厅,25,45624,72
0,0,0,0,0,0,燕京航城,2012,2室2厅,33,25568,88
6,0,0,0,0,0,天洋城,2012,2室2厅,33,28571,84
8,0,0,0,0,0,首城国际心,2011,2室1厅,28,69431,88
11,50,6,0,3,24,六铺炕一区,1997,3室1厅,6,119942,104
16,50,16,0,1,35,马甸南村,1994,2室1厅,6,117543,57
7,17,17,0,1,24,旭辉奥都,2009,2室1厅,26,35531,90
11,41,9,0,1,31,观澜国际花园,2003,3室2厅,17,86644,167
8,0,0,0,0,0,银枫家园,2001,3室2厅,9,50911,179
4,0,0,0,0,0,夏威夷•蓝湾,2012,2室1厅,33,29113,79
14,49,7,0,2,23,国风北京,2006,3室2厅,14,68541,143
13,50,6,0,1,28,凤凰城,2002,2室2厅,38,72115,104
22,49,14,0,2,21,宏汇园小区,1999,3室1厅,7,134345,86
11,0,0,0,0,35,建东苑,2000,3室2厅,6,45028,111
7,0,0,0,0,0,八达岭孔雀城英国宫（住宅）,2015,3室2厅,18,7586,87
1,0,0,0,0,0,八达岭孔雀城（住宅）,2014,2室2厅,18,7906,86
18,8,4,0,1,16,K2·海棠湾,2012,2室2厅,27,72173,62
15,45,24,0,1,38,华腾园,2003,2室1厅,28,66216,87
4,0,0,0,0,0,温泉花园,1995,2室1厅,6,29375,80
7,0,0,0,0,19,国美第一城,2006,2室1厅,31,53916,88
12,40,5,0,1,23,百子湾家园,2003,1室1厅,14,47902,61
11,10,4,0,1,22,太阳星城金星园,2000,3室2厅,21,83544,134
5,0,0,0,0,0,郁花园二里,1998,2室1厅,6,43361,67
24,0,0,0,0,0,听涛雅苑,2000,3室1厅,8,49314,101
23,0,0,0,0,32,金地仰山,2012,3室2厅,18,52272,88
13,0,0,0,0,48,欧陆经典,2000,2室2厅,20,64621,119
5,0,0,0,0,0,首开·常青藤,2009,3室2厅,6,68478,92
14,0,0,0,0,9,五矿•铭品,2015,3室2厅,9,36000,150
0,0,0,0,0,0,鸿威翡翠城,2015,4室2厅,3,11982,116
12,34,19,0,3,40,荣丰2008,2008,1室1厅,21,97315,60
9,50,15,0,1,33,宣武门东大街,1990,1室1厅,15,97619,42
0,0,0,0,0,0,上上城五期小区,2009,2室1厅,28,24367,87
14,49,7,0,2,23,北京香颂,2007,4室3厅,9,61752,251
20,50,19,0,1,36,芳星园一区,2000,2室1厅,25,54545,66
18,5,3,0,2,42,红木林,2010,2室1厅,25,52571,70
17,50,11,0,1,46,光大名筑,2004,4室2厅,9,71115,176
13,7,9,0,1,11,星河湾,2006,5室3厅,16,65343,627
0,0,0,0,0,0,夏威夷南岸二期,2010,2室2厅,18,29545,88
17,49,17,0,4,19,丽水莲花,2006,2室1厅,28,80868,90
11,41,9,0,1,31,曙光花园望山园,2001,3室1厅,17,70909,110
11,0,0,0,0,9,龙湾别墅,2008,4室3厅,3,41935,310
15,50,29,0,2,48,骑河楼大街,1988,1室1厅,6,88410,42
10,25,4,0,1,31,润枫水尚,2008,2室1厅,15,63017,106
16,0,0,0,0,34,华威北里,1994,2室1厅,6,56109,56
13,21,13,0,1,33,丽都水岸,2008,3室2厅,6,68273,249
20,50,9,0,2,23,苹果社区,2006,3室2厅,31,71428,161
19,50,9,0,3,28,裕东里,1986,2室1厅,6,112359,53
6,0,0,0,0,0,奥林匹克花园东坝,2003,3室2厅,5,71278,119
4,0,0,0,0,0,金色漫香苑,2013,2室1厅,8,40588,85
18,0,0,0,0,22,天桥北里,2000,1室1厅,1,110000,15
17,0,0,0,0,8,星河皓月,2007,2室2厅,18,26344,93
3,0,0,0,0,0,东亚五环国际,2013,2室2厅,19,29670,91
